,a(full violation),a(no violation),a(purpose violation),a(text violation),v(full violation),v(no violation),v(purpose violation),v(text violation),t,z_trans(full violation),z_trans(no violation),z_trans(purpose violation),z_trans(text violation)
862,3.820388552363629,3.8588597686140518,3.2998878079575418,3.401430350469764,1.0412272631649824,-1.0997191277507152,-0.47939050633710445,0.2511904886638623,0.6493256929557303,-0.1465207958579157,0.19172169179377813,0.28167587245566206,-0.0664794211914371
863,3.9471113822085284,3.9529494289217046,3.3239160192889945,3.4243234257313455,1.0441783935091418,-1.1358232010432894,-0.5314905398280895,0.23297435869909197,0.6436830324865024,-0.07929484605984426,0.15242883341709224,0.3609170582459653,-0.025317060852699566
864,3.9549380075109237,3.847124646136226,3.3227371653265028,3.3920014921646686,1.0484481540939279,-1.1193746322497111,-0.5304716226504673,0.2325687363492045,0.6679378924152618,-0.08701373467946251,0.2161781470042051,0.3884544833661705,-0.02322255202219553
865,3.838289757082234,3.7247692353596222,3.2746255228571344,3.357145098469787,1.0595834234917105,-1.1136316007678246,-0.49719782523530887,0.2624662381608477,0.6653423584486914,-0.12751564122051623,0.2180328172531691,0.29332374069122147,-0.06401304603901853
866,3.7930130659792898,3.7464922312212443,3.2487275514852625,3.337822813022116,1.0562080269704426,-1.1395996111690225,-0.5084216990975348,0.23411371612687082,0.672669267500628,-0.11233755614725513,0.2566621835486183,0.28098736372950006,-0.06185051760308654
867,3.9075888824792835,3.7292637983316768,3.189321736641317,3.41184267081473,1.0182327754310478,-1.073493504331451,-0.4826299637127065,0.21855677107006408,0.6723701244290501,-0.017160823710986622,0.17048408626008088,0.3369232245642032,0.006992643418729655
868,3.868207525628786,3.7619606875827607,3.2177215569137223,3.3377920403792665,1.024670499297975,-1.1171734512025746,-0.5197508167993803,0.26728539617257707,0.685858772287159,-0.053820120035590224,0.19092138408044337,0.3386643157671989,-0.026210623457016247
869,3.789230100941895,3.8309159126369425,3.2746872606269726,3.40406314919735,1.0424384682107508,-1.108618190698542,-0.5159996566631678,0.24550844003405342,0.6727084511242285,-0.132132684078273,0.17867908588174924,0.3025591245335918,-0.03684382019414405
870,3.695533476995125,3.8064724820547795,3.253538952281778,3.3315222398098703,1.0235856122704423,-1.0880164333223052,-0.4863862949448109,0.2487838752088862,0.6799078747006496,-0.11603170862476854,0.1745513334011051,0.2729821853159223,-0.03806738966268953
871,3.7860158156064423,3.7608783830705335,3.253249027394216,3.3767113263511277,1.021078624980795,-1.0772490509876318,-0.505563836818489,0.2576093556795862,0.67702597043501,-0.09642928041836552,0.16111414766339038,0.32641208614275724,-0.06457993344271723
872,3.8156869177335153,3.8810584468788374,3.191292939167816,3.3580177961899613,1.0330626594192676,-1.085711123563569,-0.47080665970671187,0.22717194571746113,0.6686569227114815,-0.0980116110488499,0.14419066851718468,0.2551316767788314,0.008959697384672644
873,3.743959052828635,3.827612776713358,3.2870944973804175,3.327714843980947,1.0270652654306622,-1.0785509073115442,-0.4771645443404614,0.22569144721793918,0.6683635893962474,-0.12274235371765838,0.1737680599675276,0.2624124241023509,-0.007267273247168499
