,a(full violation),a(no violation),a(purpose violation),a(text violation),v,t(full violation),t(no violation),t(purpose violation),t(text violation),z_trans(full violation),z_trans(no violation),z_trans(purpose violation),z_trans(text violation)
34,3.422434911214355,3.267623268320618,2.971881548355548,3.0535320125092045,-0.07750828610609507,1.096711643448,1.010990498576447,0.8960855172870142,1.0902834180801897,1.120486230409559,-0.9059945577448878,-0.20575580234952745,0.4352713514068494
35,3.3420225616131356,3.442466027264428,2.915300541374278,3.12794217812607,-0.09743182948480421,1.0920620158853174,0.9958132776938696,0.911303532588742,1.033209126788048,1.0882401843999208,-0.9556570524637255,-0.1758953869187288,0.4609025833779075
36,3.2639274485043277,3.2784695937622605,2.9641617694673905,3.0589633715505253,-0.09279828718943865,1.0876738272934579,0.9931638775371842,0.9140588323288646,1.0969058958822935,1.059191376000744,-0.8609965472485624,-0.22749569462580718,0.47042889921808284
37,3.34778712051196,3.3159185981394614,2.9049717927633916,3.1518296610687315,-0.09441604851094496,1.0867903048050631,0.9802064370759768,0.9267233200641599,1.0390470112122385,1.0960286712315892,-0.8865597192748893,-0.2394683156761317,0.45800632790197127
38,3.3912161557012506,3.312330043097209,2.9461109596902157,3.053213190028264,-0.08142448180427948,1.0907721965175514,1.0200431993464898,0.9182288908291761,1.0542743869313,1.1087538028561268,-0.9712501210770075,-0.22875887809363074,0.42179560382997594
39,3.2758430481498237,3.4006500817042737,2.9418758322378546,3.156144592457954,-0.08425928409478878,1.0900410216405556,1.000723023972383,0.9083772090516018,1.0439892775288524,1.0859760764694601,-0.9593981829755184,-0.20034153747962075,0.4410102791536025
40,3.364312084143594,3.4282287043534208,2.920090555907948,3.1404628721312284,-0.08579411497082606,1.0885967602232203,0.9826362217730106,0.9042738151360515,1.040564938017349,1.1268444585150597,-0.9299010392734538,-0.22073081263965755,0.46166186153387084
41,3.302611993563909,3.3119729664714375,2.927984488337061,3.065834972912674,-0.07740653923688723,1.094218261915672,1.0111378779119888,0.9247007127123413,1.0379818860171528,1.084537227334676,-0.9308419282630711,-0.26660724608350217,0.37676542836945337
42,3.293331516376868,3.3950782020706716,2.939965954050671,3.1040155756782255,-0.08537988043510117,1.091393942862368,0.9883597977294791,0.9073109453771605,1.092851930345586,1.075351039356379,-0.9316390496046552,-0.2054258769625037,0.4568065884151682
43,3.3522238267901705,3.2885914041686366,2.9145038720246648,3.1003197372466964,-0.07772963919292217,1.093925806864563,0.9845379513476753,0.9109645627764805,1.0143196573935471,1.1116751297844936,-0.8877523260984961,-0.20302417019673596,0.39122103905436195
44,3.220950379808998,3.412587479919037,2.9388504117873566,3.143950214476392,-0.09128171558729231,1.0878064745911917,0.9945777262409096,0.9191196566803317,1.052007635602838,1.0687254302331572,-0.9140408499992065,-0.1607135550250976,0.4281628928684381
45,3.331886302600651,3.2945426172398506,2.843675889472781,3.119454942118443,-0.07546644688868995,1.0844716455800438,1.0108336888280434,0.9547755409402825,1.0038196025564015,1.095718865409071,-0.9566659262777432,-0.24137078374542512,0.42389580840962826
46,3.2533196716299697,3.2604369221475435,2.965987164347016,3.134331743428009,-0.0646664257665028,1.0948307851052514,0.9905282546237061,0.8978070381719234,1.0375891040956138,1.0568025064612592,-0.8867995724614601,-0.2236595093093866,0.4170176862818864
47,3.332502687071668,3.532729160661706,2.9012955707089607,3.0919908828802383,-0.06636142066398372,1.0815598724867932,1.0122577083469602,0.9314513620231353,1.0503272261065422,1.0760869407952194,-1.0797255590423684,-0.2264307061416886,0.4034636466006404
