Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
687904af8808a784ef72c542,5f8486766d8e7b0f17df0206,RETURNED,Not Applicable,2025-07-17T14:12:03.201000Z,,,,,,1687,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687904b8f71a9aeaa377d233,665fc8123159edac3b65bd62,RETURNED,Not Applicable,2025-07-17T14:12:15.336000Z,,,,,,652,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687904dab1d65b593e3c94ef,67e478cd1e606cd162f6f60e,RETURNED,Not Applicable,2025-07-17T14:12:42.074000Z,,,,,,742,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68790503e7699f989a610548,67fab8b04ae900aa7d3b2276,RETURNED,Not Applicable,2025-07-17T14:13:30.773000Z,,,,,,538,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68790508a4cff0de8963b01e,66c4b62a43b7ea9fa8d655b6,RETURNED,Not Applicable,2025-07-17T14:13:53.168000Z,,,,,,347,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68790525554a9af973e54737,64aff8a2c8ddc83286a349c3,RETURNED,Not Applicable,2025-07-17T14:17:55.507000Z,,,,,,2395,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6879052ae1915857fd1ea70d,5d46daa91274770001916403,RETURNED,Not Applicable,2025-07-17T14:18:55.131000Z,,,,,,5094,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6879053c2065bcb711d893d1,67911b9be5af0ac0763a28c7,RETURNED,Not Applicable,2025-07-17T14:15:11.609000Z,,,,,,1114,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6879054dface5a140b553437,67548479896611f20a4da518,RETURNED,Not Applicable,2025-07-17T14:22:59.893000Z,2025-07-17T14:49:11.884000Z,,2025-07-17T14:49:12.804000Z,,C2UOTZEI,1750,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687905661dde627d10374782,62ec5b6ec9fb538507e57ca5,RETURNED,Not Applicable,2025-07-17T14:15:06.059000Z,2025-07-17T14:20:21.479000Z,,2025-07-17T14:20:22.361000Z,,C2UOTZEI,577,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
687905bba976ac71a9ed5ff3,5dea7a7df87f5519e686ff7b,TIMED-OUT,Not Applicable,2025-07-17T14:16:39.897000Z,,,,58299.0,,5900,English,38,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
687905c06f61cc5f07489db2,67d5d3b719258bd5eeaef834,RETURNED,Not Applicable,2025-07-17T14:16:36.581000Z,,,,,,543,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
