,a(full violation),a(no violation),a(purpose violation),a(text violation),v(full violation),v(no violation),v(purpose violation),v(text violation),t(full violation),t(no violation),t(purpose violation),t(text violation),z_trans(full violation),z_trans(no violation),z_trans(purpose violation),z_trans(text violation)
46,4.488717682414155,4.50554831026977,3.0785460871099093,3.1398741922073237,1.2172161807242485,-1.2904169543054607,-0.46854751758668917,0.20103141753160286,0.3688792724860438,0.32939163927421766,0.8327024043768602,0.9777777986271461,-0.3962166764676272,0.5179826061613003,0.20925183663621294,0.09492459011112994
47,4.505406899378632,4.5248210947980025,3.111606677406408,3.0927853178423015,1.2313316227301305,-1.305985909376093,-0.46443366235973527,0.15735682984154303,0.3958252495901942,0.34808683982930705,0.8158673376511091,0.9654254628814811,-0.3833297130961124,0.47156955522062793,0.20339936784306195,0.12180538169279165
48,4.61758441300607,4.582026335001231,3.0367475527658856,3.1256804884162173,1.2745877784057624,-1.2896772080434626,-0.46106634837244626,0.18755683213200797,0.3546716013649623,0.3512343554110731,0.8479319186779954,0.9486955347972484,-0.4174625032799334,0.45216905373295524,0.20138276825702683,0.03322695413096459
49,4.789203019484422,4.515912451212655,3.0851064430665542,3.0610351604836037,1.2671610866886827,-1.2782707013285706,-0.43210611034596613,0.21061352366896144,0.31501485521587447,0.35523974252055446,0.8764114877137803,0.9687762948000164,-0.43453652274345106,0.47089602022032984,0.1505203017353933,0.05095608901713325
50,4.758142128620781,4.499927083667282,3.121883373617405,3.1461224606277343,1.2997733592936112,-1.3123924015756123,-0.45735430871032934,0.19440453243156047,0.3007481965089367,0.34775613118135196,0.8025847359073578,0.8972664713890229,-0.4421856010830187,0.5032126572740315,0.2423848999883656,0.053610836557751076
51,4.5393895903176835,4.4513633995443,3.0919610468642222,3.1483764558620413,1.1889785352851738,-1.302627916667963,-0.48113227091423805,0.20867566785635466,0.3705566440416181,0.35724317956477847,0.7887698815424475,0.9417734979160747,-0.32767305909160976,0.5329637849489428,0.2580470057457101,0.08329725047292569
52,4.595805843847705,4.498177073917763,3.1120587338369714,3.109282495407376,1.2794677212472392,-1.2803038261012554,-0.46654142464792037,0.17290617759689558,0.4021524252204161,0.37787209183827714,0.8305171233459402,0.9601263440844644,-0.37045759763060987,0.4272537018576178,0.18435076772805353,0.13087017782532506
53,4.747637986437953,4.465900800478369,3.119427547930596,3.1622679036023107,1.2469913577632092,-1.2490174723219796,-0.46386058757844445,0.19693559224107104,0.3983850727025188,0.38326090593105544,0.8175904154164718,0.9465881414605156,-0.2809804688594638,0.4200003504764003,0.18857908811094104,0.03753436198876878
54,4.500394930934221,4.56711935103458,3.077833703377297,3.1091339441975157,1.2153811900329607,-1.2767011620271065,-0.4505078510438057,0.21474853980826417,0.40897390278429735,0.38227728500760166,0.8167519226212269,0.9667652588169837,-0.3142502506869801,0.3830463856500866,0.2469204477057635,0.011037718162762358
55,4.620289575756433,4.577256183360614,3.0277268096664365,3.182540618091907,1.2093912569541703,-1.3177193697874585,-0.46602994254856156,0.20124988112946884,0.3693697260945448,0.34599389178427187,0.840925944573885,0.9146333100296783,-0.3035790162802752,0.49376211538288184,0.19466863162181652,0.08923058037106994
56,4.520485366754623,4.525020599066657,3.1200825197008775,3.1500617059709652,1.243227778854879,-1.2926499045592097,-0.46969252304418396,0.18675632282716575,0.35935699285167355,0.3303617240155766,0.8239455641117387,0.9613648954650176,-0.42552980421465175,0.5031653803356282,0.24545772658476095,0.08352914772157491
57,4.621999203680141,4.473211260249313,3.1331757961974063,3.182070390197418,1.2829102475481806,-1.2927440289154055,-0.5108162514828045,0.21406603601821886,0.372554571790353,0.3605144115449606,0.78904397590326,0.9098285791143177,-0.4530175788663351,0.5004537321171194,0.2694699117299583,0.06370837356284517
58,4.806678838935377,4.554832088989551,3.0622405816925355,3.167678751702803,1.3249603359690432,-1.2993415683342713,-0.4970800714715777,0.18620000453313057,0.3302998939713291,0.27990336317367676,0.791884772881326,0.9771209549388901,-0.40622060905689883,0.5535513873885969,0.2896153045905877,0.12390401401378212
59,4.895487584552233,4.6579409402711764,3.0837757113133515,3.099643298366733,1.280743093518278,-1.3204139401632455,-0.47520824385376176,0.19789577419299986,0.3228858438615713,0.3413577843840702,0.8135461396110615,0.9677020238173443,-0.31945132227554507,0.46541374086515475,0.2279844039236746,0.09422709228794326
