,mean,std,2.5q,25q,50q,75q,97.5q,mc err
t_subj.Erj2vLkrFRFK,0.4511438655701166,0.01787616481472852,0.410208989044512,0.4413272375799429,0.4530337042285836,0.46399861726434594,0.48071709541336755,0.0005667092391110932
t_subj.FNFg4qd24uNy,0.3055979707842647,0.08553423936629599,0.11983980970269596,0.2514655839832488,0.3084464842396789,0.3646394672279136,0.4646452508277072,0.00722102242489531
t_subj.G6HbAL5CKckH,0.32689183762081714,0.026800427210038325,0.26945195613705675,0.30723814787948034,0.33205533636893697,0.3481589836084136,0.3670658615170193,0.0009306164983864128
t_subj.HJgtd5UpWefA,0.20125959001886654,0.06553506313829166,0.07870098577756914,0.15398005143039076,0.1993320994344178,0.25120078597452644,0.3232955554596455,0.005405983085765855
t_subj.JXwtQfYRmdlb,0.29693382962150894,0.11728699067891356,0.08060716182378756,0.21438907883676916,0.29249113538155985,0.3776253280000008,0.5289995535998704,0.009466398131804131
t_subj.Jm9VG9LqGvAY,0.2825484972027796,0.09389321514087919,0.08595910155486075,0.2170417504141774,0.28300615158850206,0.35781269028448914,0.4420888291813045,0.007894343992982483
t_subj.KOP4RVWbQg5t,0.23983053992738712,0.0834204965948816,0.06703717216592081,0.17778187732791476,0.2598712492265047,0.3123392650400804,0.3449500648782844,0.007577089737280811
t_subj.KhkKnvIk9rxi,0.3132187834194204,0.10237453844073025,0.11713489945835126,0.23861228527547748,0.3187409512768975,0.39126380582600506,0.489675400306709,0.008569186339831645
t_subj.Kr1fhFpwcKCC,0.14882241252507772,0.07078208395985874,0.03130886401656562,0.09620517357209266,0.14356077200375109,0.1942248295539945,0.30647124542942206,0.004968597065693871
t_subj.LD4oLHRdPfA9,0.20568539187203277,0.08058008953726244,0.05561839362298643,0.14657128369995126,0.20572886947675925,0.26620772659896347,0.3555807550601647,0.005550121368245368
t_subj.Lh7MG1xY0pQl,0.31586744515217446,0.08121627370622107,0.14158859851472116,0.2625790622820527,0.3187609908236345,0.37519583009527124,0.46197909960222355,0.006546256203837765
t_subj.M07bqEUmTTmk,0.16491219482805172,0.05845825029094885,0.04888799393295202,0.12428401561425309,0.16914944305755164,0.20636413855700586,0.26958347217235373,0.004707728548300269
t_subj.NbvzyCXZZi1L,0.3816544520945772,0.04369161681534561,0.2784254547974345,0.35738615404012813,0.3845259161253594,0.40815485906646276,0.4670857183922525,0.0013332336683078904
t_subj.Nni7lJOWzkSC,0.3102239973078462,0.06671755721036032,0.1613480193655488,0.2684741885938324,0.3152449047141937,0.3595096338940929,0.4263243644542155,0.005557920518140763
t_subj.Ny14T48vbIXV,0.2851604385546117,0.06800676829260777,0.12347278120231925,0.2441357424580359,0.29416919319814233,0.33254725541230923,0.4062604097927779,0.005298088486113172
